		Result for h=0.01

	Value of X		Value of Y

	0.0		0.0
	0.01		-0.0100743699275
	0.02		-0.0199487297057
	0.03		-0.0296230496887
	0.04		-0.0390972819192
	0.05		-0.04837136129
	0.06		-0.0574452066819
	0.07		-0.0663187220786
	0.08		-0.0749917976581
	0.09		-0.0834643108606
	0.1		-0.091736127434
	0.11		-0.0998071024557
	0.12		-0.107677081332
	0.13		-0.115345900772
	0.14		-0.122813389745
	0.15		-0.130079370405
	0.16		-0.137143659001
	0.17		-0.144006066759
	0.18		-0.150666400742
	0.19		-0.157124464688
	0.2		-0.163380059825
	0.21		-0.169432985658
	0.22		-0.175283040736
	0.23		-0.180930023401
	0.24		-0.186373732498
	0.25		-0.191613968079
	0.26		-0.196650532068
	0.27		-0.201483228915
	0.28		-0.206111866212
	0.29		-0.210536255299
	0.3		-0.214756211835
	0.31		-0.218771556348
	0.32		-0.222582114762
	0.33		-0.226187718896
	0.34		-0.229588206941
	0.35		-0.232783423913
	0.36		-0.235773222072
	0.37		-0.238557461331
	0.38		-0.241136009623
	0.39		-0.243508743258
	0.4		-0.245675547242
	0.41		-0.247636315579
	0.42		-0.249390951542
	0.43		-0.25093936792
	0.44		-0.252281487242
	0.45		-0.253417241969
	0.46		-0.254346574666
	0.47		-0.255069438146
	0.48		-0.255585795584
	0.49		-0.255895620612
	0.5		-0.255998897384
	0.51		-0.255895620612
	0.52		-0.255585795584
	0.53		-0.255069438146
	0.54		-0.254346574666
	0.55		-0.253417241969
	0.56		-0.252281487242
	0.57		-0.25093936792
	0.58		-0.249390951542
	0.59		-0.247636315579
	0.6		-0.245675547242
	0.61		-0.243508743258
	0.62		-0.241136009623
	0.63		-0.238557461331
	0.64		-0.235773222072
	0.65		-0.232783423913
	0.66		-0.229588206941
	0.67		-0.226187718896
	0.68		-0.222582114762
	0.69		-0.218771556348
	0.7		-0.214756211835
	0.71		-0.210536255299
	0.72		-0.206111866212
	0.73		-0.201483228915
	0.74		-0.196650532068
	0.75		-0.191613968079
	0.76		-0.186373732498
	0.77		-0.180930023401
	0.78		-0.175283040736
	0.79		-0.169432985658
	0.8		-0.163380059825
	0.81		-0.157124464688
	0.82		-0.150666400742
	0.83		-0.144006066759
	0.84		-0.137143659001
	0.85		-0.130079370405
	0.86		-0.122813389745
	0.87		-0.115345900772
	0.88		-0.107677081332
	0.89		-0.0998071024557
	0.9		-0.091736127434
	0.91		-0.0834643108606
	0.92		-0.0749917976581
	0.93		-0.0663187220786
	0.94		-0.0574452066819
	0.95		-0.04837136129
	0.96		-0.0390972819192
	0.97		-0.0296230496887
	0.98		-0.0199487297057
	0.99		-0.0100743699275
	1.0		0.0
