		Result for h=0.005

	Value of X		Value of Y

	0.0		1.0004693245
	0.005		1.00549668485
	0.01		1.01057407265
	0.015		1.0157014994
	0.02		1.02087898409
	0.025		1.02610655323
	0.03		1.03138424086
	0.035		1.03671208853
	0.04		1.04209014534
	0.045		1.04751846794
	0.05		1.05299712052
	0.055		1.05852617489
	0.06		1.06410571043
	0.065		1.06973581414
	0.07		1.07541658068
	0.075		1.08114811235
	0.08		1.08693051916
	0.085		1.09276391881
	0.09		1.09864843678
	0.095		1.1045842063
	0.1		1.11057136841
	0.105		1.11661007203
	0.11		1.12270047394
	0.115		1.12884273883
	0.12		1.13503703939
	0.125		1.14128355629
	0.13		1.14758247827
	0.135		1.15393400216
	0.14		1.16033833295
	0.145		1.16679568383
	0.15		1.17330627626
	0.155		1.17987034
	0.16		1.18648811317
	0.165		1.19315984236
	0.17		1.19988578261
	0.175		1.20666619755
	0.18		1.21350135944
	0.185		1.2203915492
	0.19		1.22733705657
	0.195		1.23433818009
	0.2		1.24139522723
	0.205		1.24850851447
	0.21		1.25567836735
	0.215		1.26290512059
	0.22		1.27018911814
	0.225		1.2775307133
	0.23		1.28493026878
	0.235		1.29238815685
	0.24		1.29990475934
	0.245		1.30748046785
	0.25		1.31511568376
	0.255		1.3228108184
	0.26		1.3305662931
	0.265		1.33838253936
	0.27		1.3462599989
	0.275		1.35419912383
	0.28		1.36220037674
	0.285		1.37026423082
	0.29		1.37839116998
	0.295		1.38658168902
	0.3		1.39483629371
	0.305		1.40315550092
	0.31		1.41153983882
	0.315		1.41998984694
	0.32		1.42850607638
	0.325		1.43708908992
	0.33		1.44573946216
	0.335		1.45445777971
	0.34		1.46324464133
	0.345		1.47210065807
	0.35		1.48102645347
	0.355		1.4900226637
	0.36		1.49908993775
	0.365		1.50822893759
	0.37		1.51744033836
	0.375		1.52672482854
	0.38		1.53608311016
	0.385		1.54551589897
	0.39		1.55502392465
	0.395		1.56460793098
	0.4		1.57426867609
	0.405		1.58400693264
	0.41		1.59382348803
	0.415		1.60371914463
	0.42		1.61369472
	0.425		1.62375104709
	0.43		1.63388897453
	0.435		1.6441093668
	0.44		1.65441310453
	0.445		1.66480108469
	0.45		1.67527422089
	0.455		1.6858334436
	0.46		1.69647970046
	0.465		1.70721395648
	0.47		1.71803719437
	0.475		1.72895041479
	0.48		1.73995463667
	0.485		1.75105089743
	0.49		1.76224025336
	0.495		1.77352377986
	0.5		1.78490257179
	0.505		1.79637774376
	0.51		1.80795043046
	0.515		1.81962178699
	0.52		1.8313929892
	0.525		1.84326523402
	0.53		1.85523973983
	0.535		1.86731774678
	0.54		1.87950051719
	0.545		1.89178933592
	0.55		1.90418551073
	0.555		1.91669037266
	0.56		1.92930527647
	0.565		1.94203160097
	0.57		1.95487074952
	0.575		1.96782415037
	0.58		1.98089325713
	0.585		1.99407954922
	0.59		2.00738453226
	0.595		2.02080973859
	0.6		2.03435672768
	0.605		2.04802708666
	0.61		2.06182243075
	0.615		2.07574440377
	0.62		2.08979467867
	0.625		2.10397495803
	0.63		2.11828697456
	0.635		2.13273249167
	0.64		2.147313304
	0.645		2.16203123798
	0.65		2.17688815241
	0.655		2.19188593903
	0.66		2.2070265231
	0.665		2.22231186406
	0.67		2.23774395607
	0.675		2.25332482872
	0.68		2.2690565476
	0.685		2.28494121502
	0.69		2.30098097065
	0.695		2.31717799222
	0.7		2.33353449618
	0.705		2.35005273848
	0.71		2.36673501525
	0.715		2.38358366355
	0.72		2.40060106215
	0.725		2.41778963229
	0.73		2.43515183848
	0.735		2.45269018929
	0.74		2.47040723821
	0.745		2.48830558445
	0.75		2.50638787384
	0.755		2.52465679968
	0.76		2.54311510365
	0.765		2.56176557673
	0.77		2.58061106012
	0.775		2.59965444621
	0.78		2.61889867955
	0.785		2.63834675784
	0.79		2.65800173295
	0.795		2.67786671196
	0.8		2.69794485824
	0.805		2.71823939248
	0.81		2.73875359385
	0.815		2.75949080111
	0.82		2.78045441374
	0.825		2.80164789318
	0.83		2.82307476395
	0.835		2.84473861496
	0.84		2.8666431007
	0.845		2.88879194258
	0.85		2.91118893018
	0.855		2.93383792264
	0.86		2.95674285001
	0.865		2.97990771462
	0.87		3.00333659256
	0.875		3.02703363508
	0.88		3.05100307012
	0.885		3.07524920382
	0.89		3.09977642206
	0.895		3.12458919207
	0.9		3.14969206404
	0.905		3.17508967277
	0.91		3.2007867394
	0.915		3.22678807308
	0.92		3.2530985728
	0.925		3.27972322917
	0.93		3.30666712626
	0.935		3.3339354435
	0.94		3.36153345762
	0.945		3.38946654458
	0.95		3.41774018164
	0.955		3.44635994938
	0.96		3.47533153383
	0.965		3.50466072859
	0.97		3.53435343708
	0.975		3.56441567472
	0.98		3.5948535713
	0.985		3.62567337329
	0.99		3.65688144622
	0.995		3.68848427721
	1.0		3.72048847738
